id,name,colors,Category,ImageURL,Description,price,link
DX1627-100,Nike Terminator High,White/Summit White/Volt/BlackStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2309c6be-a253-495f-915c-0c5041c6751f/terminator-high-shoes-JGFfv4.png","Your workhorse with wings never rests on nostalgia. Now made with more pop and comfort than its predecessor, it's still the shoe you can put your faith in, the one with the plush support and day-to-day reliability. It's a radiant, empowering twist on a running essential, inspired by our human pacers who inspire through connection.",12 795,https://www.nike.com/in/t/terminator-high-shoes-JGFfv4/FB1318-100
,Nike Dunk Low,,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0f3036cb-8b5b-4adb-998f-9c732d5818cb/dunk-low-shoes-w37m3B.png",,9 695,https://www.nike.com/in/t/dunk-low-shoes-w37m3B/DR0156-800
DQ7660-200,Nike Dunk Low Retro Premium,Pearl White/Sesame/White/Ale BrownStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0e563f3b-6e63-4165-98ff-e07551b1cd21/dunk-low-retro-shoes-KZmSsj.png","Your favourite b-ball look goes artisan. Inspired by hand-crafted spirits, the elegant labelling and premium leather certify your shoes 100% Swoosh. Lace up and enjoy the finer things in life like retro hoops style and connoisseur details.",9 695,https://www.nike.com/in/t/dunk-low-retro-shoes-KZmSsj/DR9705-300
DV1759-448,Nike Vaporfly NEXT% 2,Midnight Navy/Burnt Sunrise/White/Midnight NavyStyle,Men's Road Racing Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e68e5312-d465-4641-bfa6-53da7b7e78b9/vaporfly-next-2-road-racing-shoes-D4ntS0.png","Out of the clay, into the future. Partnering with Eastside Golf, we're bringing a modern aesthetic to the AJ1. Transcending traditional golf attire, the design's supple nubuck gives a premium feel, while metallic lace tips add flash to your swing. The Redstone outsole symbolises red clay mud—a reminder that you can overcome adversity, no matter where a bad shot lands you. Eastside Golf branding, a special edition hangtag and a custom shoe box add an authentic finish to your game. This is the next generation of golf. You ready?",19 695,https://www.nike.com/in/t/vaporfly-next-2-road-racing-shoes-D4ntS0/CU4111-103
,Nike Air Max 90 GTX,,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/817562f6-7781-4f26-b14c-8a82fc8818fb/air-max-90-gtx-shoes-h08kfP.png",,13 995,https://www.nike.com/in/t/air-max-90-gtx-shoes-h08kfP/DJ9779-003
DQ7679-400,Nike Air Max Scorpion Flyknit,Armoury Navy/White/Mineral Slate/Mineral SlateStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/aa13b417-d005-41a5-a0b5-9100b1556121/air-max-scorpion-flyknit-shoes-4dWrx1.png","Perfect the season in the Dunk High Retro. Created for the hardwood but taken to the streets, the '80s basketball icon returns with richly textured pigskin nubuck overlays, a soft lining around the collar and an easy-to-style neutral palette. A classic woven tongue label is paired with colour-matched laces and outsole to complete the look. And of course, the padded, high-top collar lets you make your statement—in comfort.",22 995,https://www.nike.com/in/t/air-max-scorpion-flyknit-shoes-4dWrx1/DJ4701-002
DQ8401-100,Air Jordan 12 Low,White/University Blue/BlackStyle,Golf Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8dd471ed-efa0-43b8-a388-73ae7b316cc2/air-jordan-12-low-golf-shoes-GpK0Fl.png","Inspired by generations of Js, these kicks are a collage of cool. Design details recall decades of legendary shoes while paying homage to MJs storied career. Breathable mesh, sturdy leather and lightweight Air cushioning in the heel make it that much easier to walk in the footsteps of greatness.",19 695,https://www.nike.com/in/t/air-jordan-12-low-golf-shoes-GpK0Fl/DH4120-161
DR5948-810,Nike Air Force 1 '07 LV8,Metallic Copper/Metallic CopperStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1941c886-6660-44b4-9cb8-a8be8128dee2/air-force-1-07-lv8-shoes-BbKr8Q.png","Celebrate the game's biggest competition in a design ignited by the science of connectivity and gravity that the world stage inspires. Featuring a stunning futuristic look made for the feet of the globe's greatest players, these shoes have a Zoom Air unit and flexible NikeSkin at the top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most.",9 695,https://www.nike.com/in/t/air-force-1-07-lv8-shoes-BbKr8Q/DQ7660-200
DX1626-100,Nike SB Nyjah 3,White/Volt/Racer Blue/BlackStyle,Skate Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c1d7d104-ac9d-43aa-84d5-c4e5efdd9d4f/sb-nyjah-3-skate-shoes-m8NZxm.png","When pitted against the clock, you want shoes that feel like butterflies on your feet. The ZoomX Streakfly is our lightest racing shoe, allowing it to essentially disappear on your foot. We left out all the unnecessary frills and weight, just stability and speed so that you can float through your favourite short-distance road race. It's a radiant, empowering twist on a running essential, inspired by our human pacers who inspire through connection.",8 695,https://www.nike.com/in/t/sb-nyjah-3-skate-shoes-m8NZxm/DJ6130-300
FB1318-100,Nike Air Trainer 1 SE,White/Sail/Cocoa/BlackStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/56c47d35-dadd-4a9a-9174-e2b9b116a9e0/air-trainer-1-se-shoes-15dZ2p.png","Untouched, unaltered and straight from the vault—you get the picture. The Terminator High lets you step back to the era of hook shots, knee pads and calf-high socks. Returning to the '85 original (the 1st signature school shoe by Nike), the throwback look goes a little wild with snakeskin-print overlays. And let's not forget the retro branding—delivering a big varsity finish. It's game time!",13 995,https://www.nike.com/in/t/air-trainer-1-se-shoes-15dZ2p/DZ4867-010
